"Year","MIDAS","Lake..Town","Ice.In..init.","Ice.In..final.","Ice.Out","F.Name","L.Name","Cert..","Comments"
1874,5448,"China Lake, China","","","4/22/1874","","China Lake Association","",""
1875,5448,"China Lake, China","","","5/6/1875","","China Lake Association","",""
1876,5448,"China Lake, China","","","4/30/1876","","China Lake Association","",""
1877,5448,"China Lake, China","","","4/16/1877","","China Lake Association","",""
1878,5448,"China Lake, China","","","4/15/1878","","China Lake Association","",""
1879,5448,"China Lake, China","","","5/3/1879","","China Lake Association","",""
1880,5448,"China Lake, China","","","4/21/1880","","China Lake Association","",""
1881,5448,"China Lake, China","","","4/19/1881","","China Lake Association","",""
1883,5448,"China Lake, China","","","4/29/1883","","China Lake Association","",""
1901,5448,"China Lake, China","","","03/27/1901","","China Lake Association","",""
1921,5448,"China Lake, China","","","03/28/1921","","China Lake Association","",""
1932,5448,"China Lake, China","","","04/27/1932","","China Lake Association","",""
1933,5448,"China Lake, China","","","04/20/1933","","China Lake Association","",""
1934,5448,"China Lake, China","","","04/19/1934","","China Lake Association","",""
1935,5448,"China Lake, China","","","04/25/1935","","China Lake Association","",""
1936,5448,"China Lake, China","","","04/04/1936","","China Lake Association","",""
1937,5448,"China Lake, China","","","04/20/1937","","China Lake Association","",""
1938,5448,"China Lake, China","","","04/20/1938","","China Lake Association","",""
1939,5448,"China Lake, China","","","05/04/1939","","China Lake Association","",""
1941,5448,"China Lake, China","","","04/16/1941","","China Lake Association","",""
1945,5448,"China Lake, China","","","04/02/1945","","China Lake Association","",""
1947,5448,"China Lake, China","","","04/12/1947","","China Lake Association","",""
1948,5448,"China Lake, China","","","04/08/1948","","China Lake Association","",""
1949,5448,"China Lake, China","","","04/06/1949","","China Lake Association","",""
1950,5448,"China Lake, China","","","04/14/1950","","China Lake Association","",""
1951,5448,"China Lake, China","","","04/09/1951","","China Lake Association","",""
1952,5448,"China Lake, China","","","04/19/1952","","China Lake Association","",""
1953,5448,"China Lake, China","","","03/19/1953","","China Lake Association","",""
1954,5448,"China Lake, China","","","04/19/1954","","China Lake Association","",""
1955,5448,"China Lake, China","","","04/13/1955","","China Lake Association","",""
1956,5448,"China Lake, China","","","04/27/1956","","China Lake Association","",""
1957,5448,"China Lake, China","","","04/10/1957","","China Lake Association","",""
1958,5448,"China Lake, China","","","04/16/1958","","China Lake Association","",""
1959,5448,"China Lake, China","","","04/22/1959","","China Lake Association","",""
1960,5448,"China Lake, China","","","04/21/1960","","China Lake Association","",""
1961,5448,"China Lake, China","","","04/30/1961","","China Lake Association","",""
1962,5448,"China Lake, China","","","04/20/1962","","China Lake Association","",""
1963,5448,"China Lake, China","","","04/22/1963","","China Lake Association","",""
1964,5448,"China Lake, China","","","04/21/1964","","China Lake Association","",""
1965,5448,"China Lake, China","","","04/18/1965","","China Lake Association","",""
1966,5448,"China Lake, China","","","04/18/1966","","China Lake Association","",""
1967,5448,"China Lake, China","","","04/29/1967","","China Lake Association","",""
1968,5448,"China Lake, China","","","04/13/1968","","China Lake Association","",""
1969,5448,"China Lake, China","","","04/23/1969","","China Lake Association","",""
1970,5448,"China Lake, China","","","04/23/1970","","China Lake Association","",""
1971,5448,"China Lake, China","","","04/30/1971","","China Lake Association","",""
1972,5448,"China Lake, China","","","05/01/1972","","China Lake Association","",""
1973,5448,"China Lake, China","","","04/08/1973","","China Lake Association","",""
1974,5448,"China Lake, China","","","04/02/1974","","China Lake Association","",""
1975,5448,"China Lake, China","","","04/23/1975","","China Lake Association","",""
1976,5448,"China Lake, China","","","04/11/1976","","China Lake Association","",""
1977,5448,"China Lake, China","","","04/18/1977","","China Lake Association","",""
1978,5448,"China Lake, China","","","04/21/1978","","China Lake Association","",""
1979,5448,"China Lake, China","","","04/12/1979","","China Lake Association","",""
1980,5448,"China Lake, China","","","04/10/1980","","China Lake Association","",""
1981,5448,"China Lake, China","","","03/18/1981","","China Lake Association","",""
1982,5448,"China Lake, China","","","04/22/1982","","China Lake Association","",""
1983,5448,"China Lake, China","","","04/01/1983","","China Lake Association","",""
1984,5448,"China Lake, China","","","04/17/1984","","China Lake Association","",""
1985,5448,"China Lake, China","","","04/06/1985","","China Lake Association","",""
1986,5448,"China Lake, China","","","04/08/1986","","China Lake Association","",""
1987,5448,"China Lake, China","","","04/06/1987","","China Lake Association","",""
1988,5448,"China Lake, China","","","04/06/1988","","China Lake Association","",""
1989,5448,"China Lake, China","","","04/22/1989","","China Lake Association","",""
1990,5448,"China Lake, China","","","04/11/1990","","China Lake Association","",""
1991,5448,"China Lake, China","","","04/08/1991","","China Lake Association","",""
1992,5448,"China Lake, China","","","04/15/1992","","China Lake Association","",""
1993,5448,"China Lake, China","","","04/21/1993","","China Lake Association","",""
1994,5448,"China Lake, China","","","04/20/1994","","China Lake Association","",""
1995,5448,"China Lake, China","","","04/09/1995","","China Lake Association","",""
1996,5448,"China Lake, China","","","04/05/1996","","China Lake Association","",""
1997,5448,"China Lake, China","","","04/23/1997","","China Lake Association","",""
1998,5448,"China Lake, China","","","04/09/1998","","China Lake Association","",""
1999,5448,"China Lake, China","","","04/02/1999","","China Lake Association","",""
2000,5448,"China Lake, China","","","04/04/2000","","China Lake Association","",""
2001,5448,"China Lake, China","","","04/27/2001","","China Lake Association","",""
2002,5448,"China Lake, China","","","04/06/2002","","China Lake Association","",""
2003,5448,"China Lake, China","","","04/21/2003","","China Lake Association","",""
2003,5448,"China Lake, China","","","04/22/2003","","Maine Lake Charts Inc.","",""
2004,5448,"China Lake, China","","","04/14/2004","","China Lake Association","",""
2004,5448,"China Lake, China","","","04/17/2004","","Maine Lake Charts Inc.","",""
2005,5448,"China Lake, China","","","04/11/2005","","Maine Lake Charts Inc.","",""
